Gjennomsnittstemperaturer på 17 mai. Målt på værstasjonen på Blindern.
Dato: ,Gjennomsnittstemperatur den dagen:
17.05.1925,14.5
17.05.1926,6.6
17.05.1927,3.6
17.05.1928,7.4
17.05.1929,15.2
17.05.1930,12.6
17.05.1931,9.4
17.05.1932,17.9
17.05.1933,10.1
17.05.1934,6.2
17.05.1935,6.0
17.05.1936,12.1
17.05.1937,9.9
17.05.1938,14.8
17.05.1939,13.4
17.05.1940,15.3
17.05.1941,5.0
17.05.1942,12.5
17.05.1943,10.6
17.05.1944,9.5
17.05.1945,10.1
17.05.1946,7.9
17.05.1947,16.7
17.05.1948,17.9
17.05.1949,11.0
17.05.1950,8.0
17.05.1951,10.3
17.05.1952,9.8
17.05.1953,10.5
17.05.1954,9.3
17.05.1955,6.6
17.05.1956,8.7
17.05.1957,8.8
17.05.1958,8.3
17.05.1959,8.9
17.05.1960,18.2
17.05.1961,14.0
17.05.1962,7.3
17.05.1963,7.1
17.05.1964,7.9
17.05.1965,5.5
17.05.1966,12.0
17.05.1967,7.9
17.05.1968,7.6
17.05.1969,9.1
17.05.1970,10.8
17.05.1971,12.1
17.05.1972,12.2
17.05.1973,11.7
17.05.1974,16.7
17.05.1975,12.6
17.05.1976,11.8
17.05.1977,11.6
17.05.1978,11.2
17.05.1979,10.1
17.05.1980,21.3
17.05.1981,15.6
17.05.1982,13.6
17.05.1983,12.6
17.05.1984,14.1
17.05.1985,11.3
17.05.1986,11.4
17.05.1987,9.0
17.05.1988,11.2
17.05.1989,10.7
17.05.1990,10.2
17.05.1991,9.0
17.05.1992,12.5
17.05.1993,11.5
17.05.1994,9.1
17.05.1995,7.2
17.05.1996,4.7
17.05.1997,13.1
17.05.1998,15.4
17.05.1999,10.8
17.05.2000,14.8
17.05.2001,9.6
17.05.2002,14.0
17.05.2003,9.5
17.05.2004,15.1
17.05.2005,7.1
17.05.2006,8.5
17.05.2007,9.3
17.05.2008,4.2
17.05.2009,13.1
17.05.2010,12.0
17.05.2011,12.0
17.05.2012,9.5
17.05.2013,17.5
17.05.2014,14.3
